restaurant,cuisine,review,stars,useful_votes,funny_votes,cool_votes
The Golden Fork,Italian,"Absolutely amazing food, best restaurant in the city! The chef deserves a raise!",4,43,13,20
The Golden Fork,Italian,Great value for money and the flavors were authentic. The chef deserves a raise!,5,36,16,13
The Golden Fork,Italian,"Loved every bite, will definitely come back again soon! Prices are very reasonable.",5,32,19,28
The Golden Fork,Italian,Exceptional quality and the dessert was absolutely heavenly. The chef deserves a raise!,4,2,17,24
Spice Garden,Indian,"Wonderful staff, quick service and incredibly tasty dishes. Service was top notch.",5,39,13,23
Spice Garden,Indian,"Met my expectations, no more and no less honestly. Service was acceptable.",3,1,9,1
Spice Garden,Indian,"Perfect date night spot, romantic ambiance and delicious food. The chef deserves a raise!",4,8,10,21
Spice Garden,Indian,"Five stars all the way, food was piping hot and delicious! Perfect for special occasions.",4,25,2,17
Spice Garden,Indian,"Five stars all the way, food was piping hot and delicious! Prices are very reasonable.",5,6,3,12
Spice Garden,Indian,"Reasonable place, the pasta was decent but uninspiring.",3,45,15,13
Spice Garden,Indian,Exceptional quality and the dessert was absolutely heavenly. Prices are very reasonable.,5,33,1,22
Spice Garden,Indian,"Loved every bite, will definitely come back again soon! The chef deserves a raise!",5,21,16,19
Spice Garden,Indian,Stale ingredients and the whole place smelled unpleasant. Will not be returning.,1,36,0,7
Spice Garden,Indian,Great value for money and the flavors were authentic. Prices are very reasonable.,5,4,6,3
Spice Garden,Indian,Outstanding service and the pasta was perfectly cooked. Service was top notch.,5,39,19,15
Spice Garden,Indian,Great value for money and the flavors were authentic. Perfect for special occasions.,5,29,18,16
Spice Garden,Indian,"Loved every bite, will definitely come back again soon! Prices are very reasonable.",4,25,4,25
Spice Garden,Indian,Exceptional quality and the dessert was absolutely heavenly. The chef deserves a raise!,5,11,0,25
Spice Garden,Indian,"Superb dining experience, will bring my family next time. Perfect for special occasions.",5,31,15,24
Spice Garden,Indian,"Fantastic experience from start to finish, highly recommend! The chef deserves a raise!",5,15,6,4
Spice Garden,Indian,Exceptional quality and the dessert was absolutely heavenly. Service was top notch.,5,11,15,18
Spice Garden,Indian,"Best meal I have had in years, exceeded all expectations!",5,13,4,14
Spice Garden,Indian,Rude staff and the portion sizes were ridiculously small. Reported to health department.,1,11,15,25
Spice Garden,Indian,"Fantastic experience from start to finish, highly recommend! Prices are very reasonable.",5,32,4,22
Spice Garden,Indian,Stale ingredients and the whole place smelled unpleasant. Reported to health department.,1,35,1,19
Spice Garden,Indian,"Wonderful staff, quick service and incredibly tasty dishes. Service was top notch.",4,31,0,23
Spice Garden,Indian,Outstanding service and the pasta was perfectly cooked. Perfect for special occasions.,5,48,19,23
Spice Garden,Indian,"Loved every bite, will definitely come back again soon! Prices are very reasonable.",5,32,0,28
Spice Garden,Indian,"Fantastic experience from start to finish, highly recommend! Prices are very reasonable.",4,2,0,0
Spice Garden,Indian,"Hidden gem in the city, every dish was a masterpiece. Prices are very reasonable.",5,28,12,11
Spice Garden,Indian,"Worst restaurant experience I have ever had, never returning. Reported to health department.",2,49,2,22
Spice Garden,Indian,"Complete waste of money, microwave quality at restaurant prices. Reported to health department.",1,25,9,25
Spice Garden,Indian,"Loved every bite, will definitely come back again soon! The chef deserves a raise!",4,6,3,25
Spice Garden,Indian,"Five stars all the way, food was piping hot and delicious! Service was top notch.",5,28,3,24
Spice Garden,Indian,"Best meal I have had in years, exceeded all expectations! Prices are very reasonable.",5,9,4,8
Spice Garden,Indian,"Loved every bite, will definitely come back again soon! The chef deserves a raise!",4,34,15,3
Spice Garden,Indian,Exceptional quality and the dessert was absolutely heavenly.,4,11,16,22
Spice Garden,Indian,"Best meal I have had in years, exceeded all expectations! Service was top notch.",5,40,16,16
Spice Garden,Indian,"Best meal I have had in years, exceeded all expectations!",4,18,16,3
Spice Garden,Indian,"Horrible experience, the manager was unhelpful and rude. Will not be returning.",1,11,8,6
Spice Garden,Indian,"Superb dining experience, will bring my family next time. Prices are very reasonable.",5,18,14,15
Spice Garden,Indian,"Loved every bite, will definitely come back again soon! Prices are very reasonable.",4,24,19,26
Spice Garden,Indian,Nothing special but would probably return if nearby. Service was acceptable.,3,15,6,12
Spice Garden,Indian,"Wonderful staff, quick service and incredibly tasty dishes. Perfect for special occasions.",5,4,2,22
Spice Garden,Indian,"Hidden gem in the city, every dish was a masterpiece. Perfect for special occasions.",4,46,11,8
Spice Garden,Indian,Great value for money and the flavors were authentic. The chef deserves a raise!,5,37,6,13
Spice Garden,Indian,"Wonderful staff, quick service and incredibly tasty dishes. The chef deserves a raise!",5,49,1,4
Spice Garden,Indian,"The food was divine, fresh ingredients and generous portions. Service was top notch.",4,7,15,12
Spice Garden,Indian,Outstanding service and the pasta was perfectly cooked. The chef deserves a raise!,4,6,12,3
Spice Garden,Indian,Great value for money and the flavors were authentic. Service was top notch.,4,43,6,26
Spice Garden,Indian,"It was alright, not the best but certainly not the worst. Service was acceptable.",3,2,12,12
Spice Garden,Indian,Loved the ambiance and the chef really knows their craft. Perfect for special occasions.,4,19,7,28
Spice Garden,Indian,Exceptional quality and the dessert was absolutely heavenly. The chef deserves a raise!,5,2,12,27
Spice Garden,Indian,"Superb dining experience, will bring my family next time. Prices are very reasonable.",5,48,0,5
Spice Garden,Indian,"Wonderful staff, quick service and incredibly tasty dishes. Prices are very reasonable.",4,44,12,28
Spice Garden,Indian,"The food was divine, fresh ingredients and generous portions.",4,10,4,3
Spice Garden,Indian,Outstanding service and the pasta was perfectly cooked. The chef deserves a raise!,4,17,14,8
Spice Garden,Indian,Decent food but nothing that blew me away really. Might try again someday.,3,2,15,22
Spice Garden,Indian,Appalling hygiene standards and tasteless food throughout. Asked for a refund.,1,31,15,7
Spice Garden,Indian,"Perfect date night spot, romantic ambiance and delicious food. Prices are very reasonable.",4,7,3,25
Spice Garden,Indian,Great value for money and the flavors were authentic. Perfect for special occasions.,4,27,4,8
Spice Garden,Indian,"Met my expectations, no more and no less honestly. Service was acceptable.",3,16,8,0
Spice Garden,Indian,"Five stars all the way, food was piping hot and delicious! Prices are very reasonable.",4,47,12,13
Burger Republic,American,"Incredible flavors, friendly staff and cozy atmosphere. Service was top notch.",5,4,14,24
Burger Republic,American,"Perfect date night spot, romantic ambiance and delicious food. Perfect for special occasions.",4,44,4,22
Burger Republic,American,"The food was divine, fresh ingredients and generous portions. The chef deserves a raise!",4,17,14,16
Burger Republic,American,"Wonderful staff, quick service and incredibly tasty dishes. The chef deserves a raise!",4,21,16,12
Burger Republic,American,"Horrible experience, the manager was unhelpful and rude. Will not be returning.",1,0,15,22
Burger Republic,American,"Absolutely amazing food, best restaurant in the city!",5,30,4,5
Burger Republic,American,Exceptional quality and the dessert was absolutely heavenly.,5,36,9,9
Burger Republic,American,"Fantastic experience from start to finish, highly recommend! The chef deserves a raise!",4,45,0,18
Burger Republic,American,"Pretty standard restaurant, food came out on time. Has potential to improve.",3,0,16,7
Burger Republic,American,Great value for money and the flavors were authentic. Perfect for special occasions.,5,33,2,26
Burger Republic,American,"Absolutely amazing food, best restaurant in the city! Prices are very reasonable.",4,4,16,15
Burger Republic,American,Exceptional quality and the dessert was absolutely heavenly.,4,20,13,1
Burger Republic,American,Exceptional quality and the dessert was absolutely heavenly. Prices are very reasonable.,5,33,5,17
Burger Republic,American,Loved the ambiance and the chef really knows their craft. Service was top notch.,4,33,19,24
Burger Republic,American,"Perfect date night spot, romantic ambiance and delicious food. Prices are very reasonable.",4,29,9,18
Burger Republic,American,"Five stars all the way, food was piping hot and delicious! Prices are very reasonable.",5,9,16,9
Burger Republic,American,Outstanding service and the pasta was perfectly cooked.,5,33,5,20
Burger Republic,American,Loved the ambiance and the chef really knows their craft. Service was top notch.,4,42,15,10
Burger Republic,American,"Horrible experience, the manager was unhelpful and rude. Will not be returning.",1,15,10,21
Burger Republic,American,Outstanding service and the pasta was perfectly cooked. Prices are very reasonable.,5,24,2,2
Burger Republic,American,"Incredible flavors, friendly staff and cozy atmosphere.",4,18,4,17
Burger Republic,American,"Met my expectations, no more and no less honestly. Might try again someday.",3,5,0,4
Burger Republic,American,"Wonderful staff, quick service and incredibly tasty dishes. Perfect for special occasions.",4,48,13,25
Burger Republic,American,"Best meal I have had in years, exceeded all expectations! Perfect for special occasions.",5,46,14,23
Burger Republic,American,"Superb dining experience, will bring my family next time.",5,16,3,0
Burger Republic,American,Overpriced and the food was bland and disappointing. Reported to health department.,2,14,14,23
Burger Republic,American,"Wonderful staff, quick service and incredibly tasty dishes. Prices are very reasonable.",4,22,13,23
Burger Republic,American,"Wonderful staff, quick service and incredibly tasty dishes. Service was top notch.",5,6,2,14
Burger Republic,American,"Hidden gem in the city, every dish was a masterpiece. Prices are very reasonable.",5,44,17,25
Burger Republic,American,"Loved every bite, will definitely come back again soon! The chef deserves a raise!",4,36,9,6
Burger Republic,American,Exceptional quality and the dessert was absolutely heavenly. Perfect for special occasions.,4,43,16,12
Burger Republic,American,Outstanding service and the pasta was perfectly cooked. Perfect for special occasions.,4,2,8,12
Burger Republic,American,Outstanding service and the pasta was perfectly cooked. Perfect for special occasions.,4,46,7,7
Burger Republic,American,"Loved every bite, will definitely come back again soon! Perfect for special occasions.",4,40,4,5
Burger Republic,American,"Incredible flavors, friendly staff and cozy atmosphere. Service was top notch.",5,44,5,4
Burger Republic,American,"Fantastic experience from start to finish, highly recommend!",5,5,5,22
Burger Republic,American,Loved the ambiance and the chef really knows their craft. Service was top notch.,4,29,8,22
Burger Republic,American,"Complete waste of money, microwave quality at restaurant prices. Reported to health department.",1,35,5,1
Burger Republic,American,"Hidden gem in the city, every dish was a masterpiece. Prices are very reasonable.",4,14,5,21
Burger Republic,American,"Reasonable place, the pasta was decent but uninspiring. Has potential to improve.",3,1,14,10
Burger Republic,American,"Loved every bite, will definitely come back again soon!",4,43,4,5
Burger Republic,American,Outstanding service and the pasta was perfectly cooked. Service was top notch.,5,19,0,19
Burger Republic,American,Decent food but nothing that blew me away really. Has potential to improve.,3,13,5,4
Burger Republic,American,"Superb dining experience, will bring my family next time. Prices are very reasonable.",4,12,10,2
Burger Republic,American,"Worst restaurant experience I have ever had, never returning.",1,9,4,22
Burger Republic,American,"Incredible flavors, friendly staff and cozy atmosphere.",4,39,1,19
Burger Republic,American,Nothing special but would probably return if nearby. Might try again someday.,3,16,8,10
Burger Republic,American,"The food was divine, fresh ingredients and generous portions. Service was top notch.",4,29,16,4
Burger Republic,American,Great value for money and the flavors were authentic. Perfect for special occasions.,5,13,10,8
Burger Republic,American,"It was alright, not the best but certainly not the worst. Service was acceptable.",3,0,7,21
Burger Republic,American,"Complete waste of money, microwave quality at restaurant prices. Will not be returning.",1,40,4,13
Burger Republic,American,"Loved every bite, will definitely come back again soon!",5,36,4,18
Tokyo Ramen House,Japanese,Loved the ambiance and the chef really knows their craft. Prices are very reasonable.,5,24,12,9
Tokyo Ramen House,Japanese,"Perfect date night spot, romantic ambiance and delicious food. Service was top notch.",4,37,0,22
Tokyo Ramen House,Japanese,"Absolutely amazing food, best restaurant in the city! The chef deserves a raise!",4,16,0,14
Tokyo Ramen House,Japanese,Loved the ambiance and the chef really knows their craft.,4,39,7,18
Tokyo Ramen House,Japanese,"The food was divine, fresh ingredients and generous portions. Service was top notch.",4,6,18,7
Tokyo Ramen House,Japanese,Outstanding service and the pasta was perfectly cooked.,5,32,19,29
Tokyo Ramen House,Japanese,Outstanding service and the pasta was perfectly cooked.,5,37,0,28
Tokyo Ramen House,Japanese,"Food was okay, a bit pricey for what you get though. Might try again someday.",3,3,1,9
Tokyo Ramen House,Japanese,"Wonderful staff, quick service and incredibly tasty dishes. The chef deserves a raise!",4,37,12,14
Tokyo Ramen House,Japanese,"Perfect date night spot, romantic ambiance and delicious food. Prices are very reasonable.",5,14,7,4
Tokyo Ramen House,Japanese,Outstanding service and the pasta was perfectly cooked. Prices are very reasonable.,4,44,1,26
Tokyo Ramen House,Japanese,"Loved every bite, will definitely come back again soon! Prices are very reasonable.",5,35,10,26
Tokyo Ramen House,Japanese,"Hidden gem in the city, every dish was a masterpiece. Perfect for special occasions.",4,39,5,5
Tokyo Ramen House,Japanese,"Superb dining experience, will bring my family next time. Perfect for special occasions.",4,45,10,11
Tokyo Ramen House,Japanese,"Perfect date night spot, romantic ambiance and delicious food. Perfect for special occasions.",5,24,0,14
Tokyo Ramen House,Japanese,"Hidden gem in the city, every dish was a masterpiece. Prices are very reasonable.",5,43,3,15
Tokyo Ramen House,Japanese,"Perfect date night spot, romantic ambiance and delicious food.",5,7,9,16
Tokyo Ramen House,Japanese,"Wonderful staff, quick service and incredibly tasty dishes. The chef deserves a raise!",4,28,13,7
Tokyo Ramen House,Japanese,"Hidden gem in the city, every dish was a masterpiece. The chef deserves a raise!",5,45,4,20
Tokyo Ramen House,Japanese,Rude staff and the portion sizes were ridiculously small. Asked for a refund.,2,22,0,21
Tokyo Ramen House,Japanese,"Perfect date night spot, romantic ambiance and delicious food.",4,46,8,20
Tokyo Ramen House,Japanese,Outstanding service and the pasta was perfectly cooked. The chef deserves a raise!,4,25,8,2
Tokyo Ramen House,Japanese,"Best meal I have had in years, exceeded all expectations! Perfect for special occasions.",4,10,5,1
Tokyo Ramen House,Japanese,"Hidden gem in the city, every dish was a masterpiece. Perfect for special occasions.",4,26,16,10
Tokyo Ramen House,Japanese,Never again! Dry overcooked meat and soggy vegetables. Will not be returning.,1,23,6,19
Tokyo Ramen House,Japanese,"Perfect date night spot, romantic ambiance and delicious food. The chef deserves a raise!",4,48,10,21
Tokyo Ramen House,Japanese,"Average experience, food was okay and service was fine. Might try again someday.",3,48,6,16
Tokyo Ramen House,Japanese,"Absolutely amazing food, best restaurant in the city! Prices are very reasonable.",5,21,7,16
Tokyo Ramen House,Japanese,"Food was okay, a bit pricey for what you get though. Service was acceptable.",3,18,16,12
Tokyo Ramen House,Japanese,"Perfect date night spot, romantic ambiance and delicious food. Service was top notch.",4,17,0,13
Tokyo Ramen House,Japanese,"Incredible flavors, friendly staff and cozy atmosphere. Perfect for special occasions.",5,27,16,17
Tokyo Ramen House,Japanese,"Loved every bite, will definitely come back again soon! Prices are very reasonable.",4,0,7,28
Tokyo Ramen House,Japanese,Overpriced and the food was bland and disappointing.,1,9,9,18
Tokyo Ramen House,Japanese,Great value for money and the flavors were authentic. The chef deserves a raise!,5,22,17,6
Tokyo Ramen House,Japanese,"Absolutely amazing food, best restaurant in the city! The chef deserves a raise!",5,2,7,21
Tokyo Ramen House,Japanese,"Fantastic experience from start to finish, highly recommend! Service was top notch.",4,32,14,7
Tokyo Ramen House,Japanese,"Complete waste of money, microwave quality at restaurant prices. Asked for a refund.",2,31,13,10
Tokyo Ramen House,Japanese,Outstanding service and the pasta was perfectly cooked.,5,20,13,22
Tokyo Ramen House,Japanese,Exceptional quality and the dessert was absolutely heavenly. Perfect for special occasions.,5,6,0,22
Tokyo Ramen House,Japanese,"Five stars all the way, food was piping hot and delicious! Service was top notch.",5,35,17,1
Tokyo Ramen House,Japanese,"Fantastic experience from start to finish, highly recommend! Prices are very reasonable.",5,10,9,1
Tokyo Ramen House,Japanese,Exceptional quality and the dessert was absolutely heavenly. Prices are very reasonable.,4,19,4,4
Tokyo Ramen House,Japanese,Loved the ambiance and the chef really knows their craft. The chef deserves a raise!,4,33,11,2
Tokyo Ramen House,Japanese,"The food was divine, fresh ingredients and generous portions. Prices are very reasonable.",5,23,16,9
Tokyo Ramen House,Japanese,"Hidden gem in the city, every dish was a masterpiece. The chef deserves a raise!",4,49,18,16
Tokyo Ramen House,Japanese,"Reasonable place, the pasta was decent but uninspiring. Has potential to improve.",3,44,6,8
Tokyo Ramen House,Japanese,Never again! Dry overcooked meat and soggy vegetables. Asked for a refund.,2,3,12,1
Tokyo Ramen House,Japanese,"Met my expectations, no more and no less honestly. Has potential to improve.",3,20,9,3
Tokyo Ramen House,Japanese,"Incredible flavors, friendly staff and cozy atmosphere. The chef deserves a raise!",4,36,5,25
Tokyo Ramen House,Japanese,"Fantastic experience from start to finish, highly recommend! Perfect for special occasions.",5,21,5,26
Tokyo Ramen House,Japanese,Great value for money and the flavors were authentic.,4,6,9,12
Tokyo Ramen House,Japanese,"Fantastic experience from start to finish, highly recommend! Prices are very reasonable.",5,45,1,27
Tokyo Ramen House,Japanese,"Absolutely amazing food, best restaurant in the city! Service was top notch.",5,35,18,25
Tokyo Ramen House,Japanese,Never again! Dry overcooked meat and soggy vegetables.,1,10,3,16
Tokyo Ramen House,Japanese,"Perfect date night spot, romantic ambiance and delicious food. Service was top notch.",5,33,14,23
Tokyo Ramen House,Japanese,"Fantastic experience from start to finish, highly recommend! The chef deserves a raise!",5,35,14,19
Tokyo Ramen House,Japanese,Rude staff and the portion sizes were ridiculously small. Will not be returning.,2,16,12,10
Tokyo Ramen House,Japanese,"Wonderful staff, quick service and incredibly tasty dishes. Perfect for special occasions.",4,8,8,7
Tokyo Ramen House,Japanese,"Best meal I have had in years, exceeded all expectations!",5,42,7,9
Tokyo Ramen House,Japanese,"Loved every bite, will definitely come back again soon! Service was top notch.",4,49,4,11
Tokyo Ramen House,Japanese,Loved the ambiance and the chef really knows their craft. Perfect for special occasions.,5,11,18,4
Tokyo Ramen House,Japanese,Never again! Dry overcooked meat and soggy vegetables. Reported to health department.,2,16,9,24
Tokyo Ramen House,Japanese,"Superb dining experience, will bring my family next time. Prices are very reasonable.",4,15,18,7
Tokyo Ramen House,Japanese,"Absolutely amazing food, best restaurant in the city!",5,15,5,7
Tokyo Ramen House,Japanese,"Neither impressed nor disappointed, just an average meal.",3,14,8,12
Tokyo Ramen House,Japanese,"Wonderful staff, quick service and incredibly tasty dishes. The chef deserves a raise!",5,22,6,13
Tokyo Ramen House,Japanese,"Absolutely disgusting, sent food back twice and left hungry. Reported to health department.",2,47,7,17
Tokyo Ramen House,Japanese,"Five stars all the way, food was piping hot and delicious! Perfect for special occasions.",4,30,19,6
Tokyo Ramen House,Japanese,"Hidden gem in the city, every dish was a masterpiece. Perfect for special occasions.",4,38,16,13
Tokyo Ramen House,Japanese,"Loved every bite, will definitely come back again soon! Prices are very reasonable.",4,44,1,2
Tokyo Ramen House,Japanese,"Perfect date night spot, romantic ambiance and delicious food. Perfect for special occasions.",5,22,11,6
Tokyo Ramen House,Japanese,"Absolutely amazing food, best restaurant in the city! Prices are very reasonable.",4,28,12,17
Tokyo Ramen House,Japanese,"Five stars all the way, food was piping hot and delicious! Perfect for special occasions.",4,43,1,22
Tokyo Ramen House,Japanese,"Incredible flavors, friendly staff and cozy atmosphere. Service was top notch.",4,12,12,17
Tokyo Ramen House,Japanese,"Loved every bite, will definitely come back again soon! Service was top notch.",5,38,13,19
Tokyo Ramen House,Japanese,"Terrible service, waited over an hour for cold food! Reported to health department.",1,43,15,23
La Bella Napoli,Italian,"Wonderful staff, quick service and incredibly tasty dishes. The chef deserves a raise!",5,38,19,4
La Bella Napoli,Italian,"Absolutely amazing food, best restaurant in the city! Service was top notch.",5,44,13,23
La Bella Napoli,Italian,"Pretty standard restaurant, food came out on time. Has potential to improve.",3,36,15,0
La Bella Napoli,Italian,"Superb dining experience, will bring my family next time. The chef deserves a raise!",5,14,16,24
La Bella Napoli,Italian,Great value for money and the flavors were authentic. Service was top notch.,5,36,4,10
La Bella Napoli,Italian,Exceptional quality and the dessert was absolutely heavenly. Service was top notch.,4,12,1,24
La Bella Napoli,Italian,Outstanding service and the pasta was perfectly cooked. Service was top notch.,5,7,19,28
La Bella Napoli,Italian,"Fantastic experience from start to finish, highly recommend! Service was top notch.",5,44,13,9
La Bella Napoli,Italian,"Horrible experience, the manager was unhelpful and rude. Asked for a refund.",1,40,16,25
La Bella Napoli,Italian,"The food was divine, fresh ingredients and generous portions.",5,4,14,22
La Bella Napoli,Italian,"Loved every bite, will definitely come back again soon! Prices are very reasonable.",5,48,9,2
La Bella Napoli,Italian,Loved the ambiance and the chef really knows their craft. The chef deserves a raise!,5,23,2,2
La Bella Napoli,Italian,"Reasonable place, the pasta was decent but uninspiring. Might try again someday.",3,46,8,3
La Bella Napoli,Italian,"Incredible flavors, friendly staff and cozy atmosphere. Service was top notch.",4,40,2,26
La Bella Napoli,Italian,"Horrible experience, the manager was unhelpful and rude. Will not be returning.",2,24,1,11
La Bella Napoli,Italian,"Complete waste of money, microwave quality at restaurant prices. Reported to health department.",1,4,10,26
La Bella Napoli,Italian,"Met my expectations, no more and no less honestly.",3,4,15,25
La Bella Napoli,Italian,"Fantastic experience from start to finish, highly recommend! Prices are very reasonable.",4,47,12,27
La Bella Napoli,Italian,"Terrible service, waited over an hour for cold food! Asked for a refund.",1,39,12,29
La Bella Napoli,Italian,"Wonderful staff, quick service and incredibly tasty dishes. Service was top notch.",4,39,1,7
La Bella Napoli,Italian,"Five stars all the way, food was piping hot and delicious! The chef deserves a raise!",4,5,18,15
La Bella Napoli,Italian,"Absolutely amazing food, best restaurant in the city! Service was top notch.",5,47,8,12
La Bella Napoli,Italian,"Best meal I have had in years, exceeded all expectations!",5,41,3,26
La Bella Napoli,Italian,Exceptional quality and the dessert was absolutely heavenly.,5,42,12,25
La Bella Napoli,Italian,"Superb dining experience, will bring my family next time. Perfect for special occasions.",4,9,10,20
La Bella Napoli,Italian,"Superb dining experience, will bring my family next time. Perfect for special occasions.",5,35,1,13
La Bella Napoli,Italian,Great value for money and the flavors were authentic. Perfect for special occasions.,5,31,12,13
La Bella Napoli,Italian,"Best meal I have had in years, exceeded all expectations! The chef deserves a raise!",4,39,1,27
La Bella Napoli,Italian,Overpriced and the food was bland and disappointing.,1,5,18,29
La Bella Napoli,Italian,"Horrible experience, the manager was unhelpful and rude.",1,33,14,29
La Bella Napoli,Italian,"The food was divine, fresh ingredients and generous portions. Prices are very reasonable.",5,19,3,17
La Bella Napoli,Italian,"Absolutely amazing food, best restaurant in the city! Prices are very reasonable.",5,21,16,9
La Bella Napoli,Italian,"The food was divine, fresh ingredients and generous portions. Perfect for special occasions.",4,17,17,13
La Bella Napoli,Italian,"Five stars all the way, food was piping hot and delicious! Prices are very reasonable.",5,35,2,19
La Bella Napoli,Italian,Exceptional quality and the dessert was absolutely heavenly.,5,10,0,5
La Bella Napoli,Italian,"Loved every bite, will definitely come back again soon! Service was top notch.",4,22,1,13
La Bella Napoli,Italian,Outstanding service and the pasta was perfectly cooked. The chef deserves a raise!,4,34,12,8
La Bella Napoli,Italian,"Absolutely disgusting, sent food back twice and left hungry. Reported to health department.",2,28,10,19
La Bella Napoli,Italian,"Superb dining experience, will bring my family next time. Prices are very reasonable.",5,21,10,26
La Bella Napoli,Italian,Loved the ambiance and the chef really knows their craft. Prices are very reasonable.,5,27,14,15
La Bella Napoli,Italian,Outstanding service and the pasta was perfectly cooked. Service was top notch.,5,4,2,26
La Bella Napoli,Italian,Great value for money and the flavors were authentic. Perfect for special occasions.,4,34,16,24
